claim_id,section,statement,claim_type,tier,evidence,status,priority,last_checked,note,source_ref,stale_after
2.1.1-extreme-11um-brain-kidney,2.1.1,腦部與腎臟微血管的糖萼厚度可達 11 μm。,measurement,,!PMID:30504908;!PMID:26608651;!PMID:37184739,unsupported,high,2026-07-29,四次檢索未見任何直接量測腦部或腎臟微血管達 11 μm 的原始研究。〔推論〕最可能出處為 Gromnicova 2016（DOI:10.1371/journal.pone.0161610）：該文比較人腦內皮 hCMEC/D3 與腎絲球內皮 ciGENC 的金奈米粒子攝取，於「內皮糖萼在奈米粒子攝取中的角色」一段以通則語氣寫糖萼可自 0.5 μm 延伸至 11 μm，所引四篇（Ebong 2011 培養牛主動脈內皮、van den Berg 2003 心肌、van Haaren 2003 離體動脈、Yuan 與 Rigor 教科書章節）無一為腦或腎，該文本身也未量測任何厚度。反駁文獻：PMID:30504908（animal，小鼠腦微血管硝酸鑭 TEM）；PMID:26608651（animal，小鼠腎絲球 cThO2 TEM，連續層自 50 nm 以下至 300 nm）；PMID:37184739（animal，小鼠腎臟血管 EM，大血管約 250 nm、微血管最高 800 nm）。三者均為次微米級，與 11 μm 相差逾一個數量級。同源列：2.1.1-extreme-11um、2.1.1-glomerular-4-11um。原 statement 措辭為「部分文獻報告」，2026-07-30 依 SCHEMA §6 移除無主詞措辭，數值與歸屬未動，同源列同批改,intake/2026-07-28-糖萼層生理#L4,
2.1.1-glomerular-4-11um,2.1.1,腎絲球微血管糖萼厚度可達 4-11 μm。,measurement,,!PMID:26608651;!PMID:17942961;!PMID:37184739,unsupported,high,2026-07-29,腎絲球糖萼的直接量測皆為次微米級：PMID:26608651（小鼠腎絲球，陽離子二氧化釷 cThO2 TEM，連續層自 50 nm 以下至 300 nm）；PMID:17942961（人類條件性永生化腎絲球內皮細胞 ciGEnC，體外，約 200 nm）；PMID:37184739（小鼠腎臟，大血管約 250 nm、腎小管周圍微血管最高 800 nm）。〔推論〕4-11 μm 的兩個端點各自來自非腎絲球的量測：11 μm 為 PMID:21474821 的培養牛主動脈內皮細胞 RF/FS-TEM；4 μm 應源自該文引述的小鼠頸動脈雙光子與共軛焦顯微鏡 4.5 μm（PMID:17192719）。兩個非腎絲球數值被組合成區間後歸給腎絲球，屬 STATUS §3.6 歸屬漂移。同源列：2.1.1-extreme-11um、2.1.1-extreme-11um-brain-kidney,intake/2026-07-28-糖萼層生理#L10,
2.1.1-invivo-0.5-5um,2.1.1,活體測量顯示糖萼有效厚度約為 0.5-5 μm。,measurement,animal,PMID:18258858;PMID:18441021;PMID:8781491,partial,high,2026-07-27,下限有支持、上限查無出處。活體「有效厚度」在文獻中專指流體力學相關厚度：小鼠提睪肌小靜脈 0.52±0.28 μm、小動脈 0.38 μm、倉鼠提睪肌微血管 0.4-0.5 μm，皆約 0.5 μm 量級。5 μm 未見於任何活體測量；最接近者為離體小鼠頸動脈雙光子 4.5 μm（PMID:17192719）與體外培養細胞 RF/FS-TEM 5.83 μm（PMID:21474821），兩者皆非活體。Tarbell 2016 綜述給出的 1-5 μm 為「體外與活體合併」範圍。statement 需改為指明測量情境與血管床,glycocalyx/v3#2.1.1;intake/2026-07-28-糖萼層生理#L4;glycocalyx/heparanase#1.1,
2.1.1-mucin-o-glycosylation-aging,2.1.1,黏蛋白型 O-醣基化減少導致腦微血管糖萼結構不穩。,mechanism,animal,DOI:10.1038/s41586-025-08589-9,verified,med,2026-07-28,同上研究。老化小鼠腦內皮 C1GALT1 與 B3GNT3 下降；StcE 切除黏蛋白域醣蛋白後 24 小時糖萼顯著降解、48 小時出現腦出血；AAV 過表現 B3GNT3 可回復屏障功能。機制方向與 statement 相符,intake/2026-07-28-糖萼層生理#L154,
2.1.2-pbr-cutoff-2.0-2.2,2.1.2,PBR 高於 2.0-2.2 μm 為早期糖萼損傷的切點。,epidemiology,,,unverified,high,,出自 §5.1 SDF 段。與 2.1.2-pbr-normal-1.8 之間留有 1.8-2.0 的未定義帶，原文未說明該區間如何判讀,glycocalyx/heparanase#5.1,
2.1.2-pbr-inverse,2.1.2,PBR 為逆向指標：PBR 升高代表糖萼變薄、受損或屏障功能喪失。,measurement,,,unverified,high,,整套影像評估的邏輯基礎,glycocalyx/v3#2.1.2,
2.1.2-pbr-normal-1.8,2.1.2,PBR 的正常值低於 1.8 μm。,measurement,,,unverified,high,,出自 §5.1 SDF 段。PBR 為逆向指標（見 2.1.2-pbr-inverse），此處方向正確：正常值為上限而非下限。查證時注意 STATUS §3.3,glycocalyx/heparanase#5.1,
2.1.2-pbr-sampling,2.1.2,PBR 分析每 10 μm 設一測量點，每點放置 21 條間隔 0.5 μm 的測量線分析紅血球柱寬度分布。,measurement,,,unverified,med,,,glycocalyx/v3#2.1.2,
2.1.2-pbr-screening-cutoff-2.0,2.1.2,PBR 高於 2.0 μm 為第二線篩檢的判讀閾值。,epidemiology,,,unverified,high,,出自 §5.4 三線篩查流程第二線。〔注意〕同一份文件內 PBR 的閾值出現三個版本：§5.1 為「> 2.0-2.2 μm」（本批 2.1.2-pbr-cutoff-2.0-2.2）、§5.4 為「> 2.0 μm」（本列）、§5.7 為治療目標「< 2.0 μm」（5B 範圍）。同一個 2.0 在三處分別是區間下界、篩檢閾值、治療目標，三列須併看,glycocalyx/heparanase#5.4,
2.1.2-pbr-treatment-target-2.0,2.1.2,糖萼保護治療的追蹤目標為舌下 PBR 低於 2.0 μm。,therapeutic,,,unverified,high,,出自 §5.7。〔注意〕這是本檔 PBR 閾值的第三個版本：§5.1「早期損傷 > 2.0-2.2 μm」（2.1.2-pbr-cutoff-2.0-2.2）、§5.4「第二線篩檢 > 2.0 μm」（2.1.2-pbr-screening-cutoff-2.0）、本列「治療目標 < 2.0 μm」。同一個 2.0 在三處分別是區間下界、篩檢閾值、治療目標，三列須併看,glycocalyx/heparanase#5.7,
2.1.2-sdf-540nm,2.1.2,SDF 成像使用 540nm 綠光 LED，該波長被血紅素特異性吸收以顯影微血管網絡。,measurement,,,unverified,low,,,glycocalyx/v3#2.1.2,
2.1.2-sdf-bedside-5min,2.1.2,SDF 舌下微循環檢測為無創，可於床邊 5 分鐘內完成。,measurement,,,unverified,med,,出自 §5.1 SDF 段「優點」,glycocalyx/heparanase#5.1,
2.1.2-sdf-glycocheck-software,2.1.2,GlycoCheck 為 SDF 舌下微循環影像的市售分析軟體。,definition,,,unverified,low,,出自 §5.1 SDF 段「儀器：GlycoCheck®（市售軟體）」。原文同時稱其為儀器與軟體,glycocalyx/heparanase#5.1,
2.1.2-sdf-optics,2.1.2,SDF 系統配備 5 倍物鏡與 0.2 NA，放大約 325 倍，以每秒 23 幀捕捉影像。,measurement,,,unverified,med,,硬體規格，應可由儀器文獻確認,glycocalyx/v3#2.1.2,
2.2-artery-2-3um,2.2,大動脈糖萼厚度可達 2-3 μm。,measurement,animal,PMID:22349291;PMID:21273784;PMID:17192719,partial,med,2026-07-27,主動脈實測支持約 2 μm（大鼠與小鼠主動脈 ex vivo 抗-HS 共軛焦），小鼠總頸動脈雙光子 2.3±0.1 μm。但「可達 2-3 μm」的上限不成立：同為頸動脈的雙光子研究報 4.5 μm（PMID:17192719）。另 2025 綜述將 2-3 μm 歸於中等口徑血管、4.5 μm 歸於大血管（DOI:10.1038/s41467-025-66169-x），與原文「大動脈 2-3 μm」的歸屬相反。statement 需改寫,glycocalyx/v3#2.2,
2.2-brain-1-3um,2.2,腦微血管糖萼厚度約 1-3 μm，為血腦屏障的第一道防線。,measurement,,!PMID:30504908;!DOI:10.1038/s41586-025-08589-9,unsupported,med,2026-07-28,1-3 μm 查無出處。兩項獨立的小鼠硝酸鑭 TEM 直接測量皆為次微米級：Ando 2018 腦微血管糖萼平均長度 301.0±111.8 nm；Shi 2025 年輕小鼠 0.540 μm。相差約一個數量級。statement 的「血腦屏障第一道防線」部分兩篇均支持（Ando：腦內腔覆蓋率 40.1%，顯著高於心 15.1%、肺 3.7%）。與 2.2-brain-mouse-0.54-0.23 為同指標不同數值，依 SCHEMA §2 並列,glycocalyx/v3#2.2;intake/2026-07-28-糖萼層生理#L12,
2.2-brain-mouse-0.54-0.23,2.2,小鼠腦微血管糖萼厚度在年輕個體約 0.54 μm，老化後降至 0.23 μm。,measurement,animal,DOI:10.1038/s41586-025-08589-9,verified,high,2026-07-28,Shi et al. 2025 Nature 639:985-994。C57BL/6 小鼠皮質微血管，TEM＋硝酸鑭染色。年輕 3 月齡 0.540±0.086 μm、老化 21 月齡 0.232±0.092 μm，n=4/組。數值與 statement 完全相符。此為小鼠灌注固定測量，非人體,intake/2026-07-28-糖萼層生理#L154,
2.2-cap-0.2-0.5um,2.2,微血管糖萼厚度約 0.2-0.5 μm。,measurement,animal,PMID:12637366;PMID:8781491,verified,high,2026-07-27,0.2-0.5 μm 逐字相符：大鼠左心室心肌微血管 Alcian blue 8GX 電鏡（van den Berg 2003）。倉鼠提睪肌微血管活體 0.4-0.5 μm 獨立支持；人體舌下 OPS 約 0.5 μm 亦一致。分歧值：抗-HS 共軛焦於大鼠腸繫膜微血管測得 0.9±0.1 μm、微血管後小靜脈 1.2±0.3 μm（PMID:22349291），方法與血管床不同。注意與同節「腦微血管 1-3 μm」（2.2-brain-1-3um）不一致，該條應優先查證,glycocalyx/v3#2.2,
2.2-glomerular-hs-charge,2.2,腎絲球微血管糖萼極厚且富含 HS，藉負電荷排斥白蛋白以維持電荷選擇性屏障。,mechanism,animal,PMID:17942961;PMID:29058634;!PMID:26608651;!DOI:10.1152/ajprenal.00126.2019,contested,med,2026-07-29,本列含三個可獨立證偽的宣稱，判定結果彼此不同，建議依 SCHEMA §6 拆列（提案見 reports/backfill/2026-07-29-2.2-b1.md）。(1)「極厚」：反駁。PMID:26608651（animal，小鼠腎絲球 cThO2 TEM，50 nm 以下至 300 nm）為次微米級；PMID:29058634 原文只說連續型與開窗型「比竇狀型厚」，是比較性陳述，未給絕對值，屬 STATUS §3.9 型。(2)「富含 HS」：未見反駁。(3)「藉負電荷排斥白蛋白維持電荷選擇性」：部分支持、部分反駁。PMID:17942961（in_vitro，人類 ciGEnC）顯示移除唾液酸使跨內皮電阻降 59%、白蛋白通量增 207%，但專一切除 HS 的 heparinase III 與 human heparanase 對電阻無影響、白蛋白通過僅增 40% 與 39%——糖萼確為白蛋白屏障，但電荷選擇性不主要由 HS 承擔。DOI:10.1152/ajprenal.00126.2019（animal，斑馬魚胚胎全身 HS-GAG 缺失）腎絲球過濾大致完好，並指出足細胞專一性 HS-GAG 剔除亦未造成蛋白尿。tier 依 SCHEMA §5 取支持 token 中最高者記為 animal，但該 animal token（PMID:29058634）只支持「糖萼覆蓋腎絲球開窗、構成屏障」的結構部分，不支持電荷機制,glycocalyx/v3#2.2;intake/2026-07-28-糖萼層生理#L10;glycocalyx/heparanase#2.3,
2.2-liver-porous-physiological,2.2,肝竇狀血管糖萼薄且多孔屬生理性適應而非病理性受損。,mechanism,animal,PMID:29058634,partial,med,2026-07-29,PMID:29058634（animal，小鼠，硝酸鑭 TEM/SEM）在健康對照組直接測得肝竇糖萼佔管腔面積 3.7 ± 0.3%，顯著低於心 13.6 ± 2.0% 與腎絲球 16.7 ± 1.8%，且糖萼不覆蓋竇狀血管的開放開窗、同時存在於面向 Disse 腔的一側；LPS 組再進一步下降。「薄為健康狀態的常態」有直接影像證據。判 partial 的兩個理由：(1)「多孔」描述的是竇狀血管本身的大孔，非糖萼結構多孔，statement 混用了兩者；(2)「生理性適應」的機制（肝竇內皮表現玻尿酸攝取受體、主動移除 HA 因而無法形成有效糖萼）在該文為引述綜述，非本文實測，依 queries.md §1.6 引述不得代替原文。statement 須改寫為「肝竇狀血管糖萼在健康狀態下即顯著薄於連續型與開窗型微血管」,glycocalyx/v3#2.2;intake/2026-07-28-糖萼層生理#L14,
2.2-lung-thin-sdc1,2.2,肺微血管糖萼相對較薄（約 0.4-0.5 μm）且富含 Syndecan-1，有助氣體交換與中性球快速募集。,mechanism,animal,PMID:30504908,partial,med,2026-07-28,「相對較薄」方向成立：Ando 2018 小鼠肺微血管糖萼平均長度 65.4±28.4 nm，為腦 301.0 nm、心 135.5 nm、肺三者最薄，內腔覆蓋率僅 3.7%。但 0.4-0.5 μm 不成立——實測約 0.065 μm，差約 7 倍。最接近 0.5 μm 者為 Vink & Duling 1996 的**肌肉**微血管（PMID:8781491），非肺。歸屬錯置模式與 2.1.1-extreme-11um 同型。「富含 Syndecan-1」與「有助中性球快速募集」本批次未查,glycocalyx/v3#2.2;intake/2026-07-28-糖萼層生理#L8,
2.2-pathological-50-90pct,2.2,病理狀態下糖萼厚度可減少 50-90%。,measurement,human_obs,PMID:16567538,partial,high,2026-07-29,厚度實測降幅未達 50-90%：第一型糖尿病舌下微血管 0.5±0.1 vs 對照 0.9±0.1 μm，降約 44%（PMID:16567538）。同篇以雙示蹤劑稀釋測得的全身糖萼「體積」由對照 1.5±0.1 L 降至併微量白蛋白尿組 0.2±0.1 L，降約 87%，落在 50-90% 區間內。厚度與體積是不同量測，statement 未指明何者。〔推論〕50-90% 可能是體積降幅被寫成厚度降幅。source_ref 第二 token 疑掛錯，見 reports/backfill/2026-07-29-2.2-b2b.md,glycocalyx/v3#2.2;intake/2026-07-28-糖萼層生理#L92,
2.2-repair-7-14d,2.2,糖萼完全重建需要 7-14 天。,mechanism,animal,PMID:19443840,partial,high,2026-07-29,實測完全回復為 5-7 天：小鼠提睪肌小靜脈，μ-PIV 測流體力學相關厚度，酵素或細胞激素誘導降解後的內源性回復，對照組厚度 0.52±0.27 μm（PMID:19443840）。7-14 天的上界查無出處。依 STATUS §4 已先分開三種修復：外源補充為分鐘至小時級、肺 ESL 於敗血症後 48-72 h、內源性回復 5-7 天；本條對應第三種。statement 需收斂為 5-7 天並限定物種與量測法,glycocalyx/v3#2.2,
2.2-sdc1-halflife-2-8h,2.2,Syndecan-1 的半衰期約為 2-8 小時。,mechanism,,~PMID:1533636;~PMID:11755208,unsupported,high,2026-07-29,五種措辭均查不到 syndecan-1 的半衰期數值（B1 兩式見 queries §4，本批三式見 §1.10）。2-8 小時這個量級在文獻中屬於細胞表面 HSPG 類別的周轉：大鼠卵巢顆粒細胞 GPI 錨定型內吞 t½ 約 3 h、蛋白嵌入型約 4 h（PMID:1533636）；大鼠肝細胞完整 HSPG 表面滯留 T½ 約 2-3 h（PMID:11755208）。兩篇皆非內皮細胞、非 syndecan-1，屬「相關但不對位」，依 STATUS §5 未填入 evidence。2026-07-31 schema v6：兩篇依 §4 以 ~ 前綴寫入 evidence，不對位維度為「量測對象」（非內皮細胞、非 syndecan-1）,glycocalyx/v3#2.2,
2.2-sepsis-shedding-30min,2.2,敗血症中糖萼可於 30 分鐘內大量脫落。,mechanism,,~PMID:17923576;~PMID:21890663,unsupported,high,2026-07-29,三次不同措辭檢索，未見任何文獻報告敗血症中糖萼於 30 分鐘內大量脫落。敗血症模型的實測時序相反：PMID:29058634（animal，小鼠 LPS 20 mg/kg）血漿 syndecan-1 於 12 小時 7.8 ± 0.9 ng/ml、24 小時 14.4 ± 2.0 ng/ml、48 小時回基線，最早取樣點為 12 小時；綜述另引小鼠 LPS 模型 syndecan-1 於 6 小時起升、約 24 小時達峰。〔推論〕「分鐘級脫落」的實測全部出自缺血再灌流而非敗血症：PMID:17923576（human_obs，人類大血管手術合併循環停止，早期再灌流 0-15 分鐘內 syndecan-1 升 42 倍、heparan sulfate 升 10 倍）、PMID:21890663（animal，天竺鼠離體心臟，缺氧灌流一開始即見 syndecan-1 與 HS 釋出）。依 queries.md §1.5，敗血症與缺血再灌流是已知的交錯領域。〔推論〕「30 分鐘」這個數字本身在敗血症文獻中確實存在，但指的是**修復**而非脫落：LPS 小鼠經靜脈輸注預組裝糖萼脂質體奈米載體後 30 分鐘內糖萼恢復。過程方向相反。evidence 留空的理由：上列四筆均為高度相關但不對位——PMID:29058634 最早取樣為 12 小時，無法排除 30 分鐘的短暫脫落，不足以作為反駁 token；兩筆缺血再灌流文獻反駁的是歸屬而非現象本身。2026-07-31 schema v6：兩篇缺血再灌流文獻依 §4 以 ~ 前綴寫入 evidence，不對位維度為「歸屬」（分鐘級脫落屬缺血再灌流而非敗血症）。PMID:29058634 未寫入：其取得過程在 STATUS §4 記為「僅透過 Ando 2018 轉述得知，未直接讀取」，而本列 note 卻載有該文的逐點數值，兩者不一致；依 §4「~ 不是引用轉述文獻的後門」，在來源狀態釐清前不填入,glycocalyx/v3#2.2,
2.3.1-cs-10-40pct,2.3.1,硫酸軟骨素約佔 GAG 總量的 10-40%，主要提供結構剛性。,definition,,,unverified,med,,衝突：見 2.3.1-hs-50-90pct,glycocalyx/v3#2.3.1;intake/2026-07-28-糖萼層生理#L30,
2.3.1-ha-fragmentation-disease,2.3.1,透明質酸碎片化與老化、發炎及 HFpEF 密切相關。,epidemiology,,,unverified,med,,,glycocalyx/v3#2.3.1,
2.3.1-ha-viscoelastic,2.3.1,透明質酸以非共價方式穿插於糖萼中，吸附水分以維持黏彈性與立體結構。,mechanism,,,unverified,med,,,glycocalyx/v3#2.3.1;intake/2026-07-28-糖萼層生理#L32,
2.3.1-hs-50-90pct,2.3.1,硫酸乙醯肝素為含量最豐富的 GAG，約佔糖萼 GAG 總量的 50-90%。,definition,,,unverified,high,,衝突：與 CS 的 10-40% 上界相加超過 100%,glycocalyx/v3#2.3.1;intake/2026-07-28-糖萼層生理#L28;glycocalyx/heparanase#1.1,
2.3.2-glypican-lipid-raft,2.3.2,Glypicans 經 GPI 錨定於脂筏區域，參與 Wnt 訊號與生長因子梯度形成。,mechanism,,,unverified,low,,,glycocalyx/v3#2.3.2,
2.3.2-glypican1-core-protein,2.3.2,糖萼核心蛋白包含 syndecan-1 至 syndecan-4 與 glypican-1。,definition,,,unverified,low,,v3 §2.3.2 已有 syndecan 與 glypican 的敘述，但未列出 syndecan-1~4 的完整編號與 glypican-1 的具體亞型。依 SCHEMA §2 為不同條（列舉範圍不同）。〔2026-08-01〕claim_type 由 fact 改為 definition（schema v8 逐列複核）,glycocalyx/heparanase#1.1,
2.3.2-sdc4-mechanotransduction,2.3.2,Syndecan-4 具獨特胞內結構域可直接連接細胞骨架，是機械轉導的關鍵樞紐。,mechanism,,,unverified,high,,,glycocalyx/v3#2.3.2,
2.3.2-tfpi-binding,2.3.2,組織因子途徑抑制物（TFPI）結合於糖萼層。,mechanism,,,unverified,med,,,intake/2026-07-28-糖萼層生理#L37;glycocalyx/heparanase#1.1,
2.3.3-adhesion-masking,2.3.3,健康狀態下長鏈 GAG 物理遮蔽 ICAM-1 與 VCAM-1，防止非發炎狀態下的白血球黏附。,mechanism,,,unverified,med,,,glycocalyx/v3#2.3.3;intake/2026-07-28-糖萼層生理#L48,
2.4-3o-sulfation-atiii,2.4,HS 鏈上的 3-O 硫酸化五醣序列是結合抗凝血酶 III 的關鍵，缺乏此修飾則 HS 總量再多也無抗凝作用。,mechanism,,,unverified,high,,「質重於量」論點的主要支柱,glycocalyx/v3#2.4;intake/2026-07-28-糖萼層生理#L37,
2.4-6o-sulfation-gf,2.4,6-O 硫酸化主要介導 VEGF、FGF 等生長因子的結合。,mechanism,,,unverified,med,,,glycocalyx/v3#2.4,
2.4-mispatterning-precedes,2.4,發炎早期內皮可合成總量正常但硫酸化錯位的 HS 鏈，導致 NO 反應失靈與趨化因子錯誤呈現。,mechanism,,,unverified,high,,全文核心論點之一，必須有直接證據,glycocalyx/v3#2.4;intake/2026-07-28-糖萼層生理#L49,
2.4-n-sulfation-chemokine,2.4,N-硫酸化影響趨化因子呈現與免疫細胞趨化作用。,mechanism,,,unverified,med,,,glycocalyx/v3#2.4,
2.4-precursor-insufficient,2.4,若細胞內硫酸化酶已受損，單純補充 GAG 前體未必能恢復糖萼功能。,therapeutic,rct,DOI:10.1152/japplphysiol.00651.2024,partial,high,2026-07-30,原 statement 作「無法恢復」，2026-07-30 依原文 v3 §2.4「未必能恢復功能」改回，抽取時模態被強化一級。支持：DSGP（glucosamine sulfate/fucoidan/SOD/HMW-HA）在第二型糖尿病退伍軍人的 n=22 雙盲隨機安慰劑對照試驗中，未改善糖萼完整性亦未改善血管功能指標；同一配方在 db/db 小鼠與培養內皮則有效。差異：無任何研究量測硫酸化酶功能，statement 的前提條件（硫酸化酶受損）未被檢驗，故人體陰性結果不能歸因於該機制。反向對照：PMID:20865240 顯示舒洛地特在第二型糖尿病可部分恢復糖萼，故「補前體無效」並非普遍成立,glycocalyx/v3#2.4,
3.1-charge-repulsion-40pct,3.1,正常剪切應力下，糖萼的電荷排斥機制可減少高達 40% 的跨內皮滲漏。,mechanism,,,unverified,high,,文件標示為 2025 年研究；精確百分比須逐字核對,glycocalyx/v3#3.1;intake/2026-07-28-糖萼層生理#L35,
3.1-revised-starling,3.1,傳統 Starling 定律已修正為糖萼層-內皮表層模型，ESL 才是決定跨毛細血管交換的關鍵區域。,mechanism,,,unverified,med,,,glycocalyx/v3#3.1;intake/2026-07-28-糖萼層生理#L35,
3.1-steric-70kda,3.1,糖萼以空間位阻阻擋 LDL 及大於 70kDa 的蛋白質靠近內皮細胞膜。,mechanism,,,unverified,med,,,glycocalyx/v3#3.1,
3.2-cytoskeleton-mito-calcium,3.2,糖萼的變形經肌動蛋白與微管傳導至線粒體，造成鈣離子流入並調節呼吸鏈。,mechanism,,,unverified,high,,原文稱「細胞骨架作為中介的角色已被證實」，屬未具名權威措辭，依 SCHEMA §6 未納入 statement，記此待查。與 3.2-piezo1-complex、2.3.2-sdc4-mechanotransduction 為不同層級（後兩者止於膜上感測器，本列延伸至線粒體）,mitochondria/axis#1.2.1,
